"Id","IsDeleted","MasterRecordId","AccountId","LastName","FirstName","Salutation","Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","OtherLatitude","OtherLongitude","OtherGeocodeAccuracy","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","MailingLatitude","MailingLongitude","MailingGeocodeAccuracy","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","LastViewedDate","LastReferencedDate","EmailBouncedReason","EmailBouncedDate","IsEmailBounced","PhotoUrl","Jigsaw","JigsawContactId","CleanStatus","IndividualId","IsPriorityRecord","ContactSource","Level__c","Languages__c","FormerID__c","ZeroTrustId__c","ZeroTrustHash__c","ZeroTrustResidencyRegion__c"
"003J700000Iy2vOIAR","0","","0017Q00000r5hdPQAQ","ANDREW","Marni","","Marni ANDREW","","","","","","","","","923 Bayberry Drive","Hacienda Heights","","43435","FR","","","","408-703-8505","","0699056845","","","","","003j700000iy2voiar@anonymized.com","ANONYMIZED TITLE","","","","","","0057Q000002bD1gQAE","2025-05-14T14:53:09.000+0000","0057Q000002bD1gQAE","2025-05-14T14:54:33.000+0000","0057Q000002bD1gQAE","2025-05-14T14:54:33.000+0000","","","","2025-05-14T14:55:19.000+0000","2025-05-14T14:55:19.000+0000","","","0","/services/images/photo/003J700000Iy2vOIAR","","","Pending","0PKJ70000016YnfOAE","0","","","","","","",""
"003J700000Jvqz8IAB","0","","","HOBSON","Clay","","Clay HOBSON","","","","","","","","","722 Hawthorne Avenue","Hacienda Heights","","59046","FR","","","","732-730-2692","","0699056855","","","","","003j700000jvqz8iab@anonymized.com","","","","","","","0057Q000002bD1gQAE","2025-05-21T15:27:11.000+0000","0057Q000002bD1gQAE","2025-05-21T15:28:51.000+0000","0057Q000002bD1gQAE","2025-05-21T15:28:51.000+0000","","","","2025-05-21T15:32:12.000+0000","2025-05-21T15:32:12.000+0000","","","0","/services/images/photo/003J700000Jvqz8IAB","","","Pending","0PKJ70000016YosOAE","0","","","","","","",""
"0037Q00000dfkBOQAY","0","","0017Q00000r5hGoQAI","Barr","Tim","Mr.","Tim Barr","","","","","","","","","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1230","","","","","barr_tim@grandhotels.com","SVP, Administration and Finance","Finance","","External Referral","1955-08-20","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBOQAY","","","Pending","","0","","Secondary","English","","","",""
"0037Q00000dfkBPQAY","0","","0017Q00000r5hdLQAQ","James","Ashley","Ms.","Ashley James","","","","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","","","","","","","+44 191 4956203","+44 191 4956620","+44 191 3456299","","","","","ajames@uog.com","VP, Finance","Finance","","Public Relations","1948-04-21","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBPQAY","","","Pending","","0","","Primary","English","","","",""
"0037Q00000dfkBRQAY","0","","0017Q00000r5hdMQAQ","SMYTH","Twyla","Mr.","Twyla SMYTH","","","","","","","","","960 Fieldstone Drive","","","","","","","","01467-172590","506-617-2607","(512) 757-4561","","","","","0037q00000dfkbrqay@anonymized.com","ANONYMIZED TITLE","Finance","","Trade Show","1991-09-15","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBRQAY","","","Pending","0PK7Q000003aTDIWA2","0","","Secondary","English","","","",""
"0037Q00000dfkBSQAY","0","","0017Q00000r5hGqQAI","VILLAREAL","Starr","Mr","Starr VILLAREAL","206 4th Street","Durham","KS","55603","USA","","","","13 1st Avenue","Durham","KS","76871","USA","","","","609-200-8577","","(785) 265-5350","","","","","0037q00000dfkbsqay@anonymized.com","ANONYMIZED TITLE","Internal Operations","","Purchased List","2025-01-21","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBSQAY","","","Pending","0PK7Q000000gBRSWA2","0","","Primary","English","","","",""
"0037Q00000dfkBUQAY","0","","0017Q00000r5hdNQAQ","FRANKS","Rex","Mr.","Rex FRANKS","","","","","","","","","710 Fawn Court","","","","","","","","08-3071-2258","602-954-5141","(503) 421-4387","","","","","0037q000004xsonqaw@odaseva.ano","ANONYMIZED TITLE","Warehouse Mgmt","","Word of mouth","2011-08-16","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBUQAY","","","Pending","0PKJ70000016Y5OOAU","0","","Secondary","English","","","",""
"0037Q00000dfkBVQAY","0","","0017Q00000r5hdNQAQ","JOLLY","Sebastian","Ms.","Sebastian JOLLY","","","","","","","","","240 10th Street","","","","","","","","418-348-2107","718-201-3751","(503) 421-5451","","","613-273-5773","","0037q000004xsomqaw@odaseva.ano","ANONYMIZED TITLE","Operations","ANONYMIZED ASSISTANT","Word of mouth","2000-03-10","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBVQAY","","","Pending","","0","","Primary","English","","","",""
"0037Q00000dfkBWQAY","0","","0017Q00000r5hdKQAQ","INGRAM","Gemma","Mr.","Gemma INGRAM","","","","","","","","","299 Valley Drive","Dedham","NC","23462","USA","","","","705-414-4712","604-925-4225","","","","","","0037q00000dfkbwqay@anonymized.com","ANONYMIZED TITLE","","","Web","2025-01-21","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBWQAY","","","Pending","0PK7Q000003aX4PWAU","0","","","","","","",""
"0037Q00000dfkBXQAY","0","","0017Q00000r5hGpQAI","Song","Arthur","Mr.","Arthur Song","","","","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-4535","","","(212) 842-5464","","asong@uog.com","CEO","Executive Team","Pat Feinstein","Public Relations","1953-08-12","","0057Q000002bD1gQAE","2023-03-03T10:48:07.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:37.000+0000","","","","2025-06-26T08:43:26.000+0000","2025-06-26T08:43:26.000+0000","","","0","/services/images/photo/0037Q00000dfkBXQAY","","","Pending","","0","","Secondary","English","","","",""
